sending_region,receiving_region,milliseconds
africa-south1,us-west1,268.535
africa-south1,asia-south1,127.342
africa-south1,europe-west6,167.436
africa-south1,us-west4,275.009
africa-south1,me-central1,108.389
africa-south1,us-west2,277.181
africa-south1,europe-west4,168.339
africa-south1,us-central1,236.632
africa-south1,europe-west9,156.147
africa-south1,us-east1,227.269
africa-south1,northamerica-northeast2,227.059
africa-south1,me-west1,169.886
africa-south1,australia-southeast1,282.032
africa-south1,northamerica-northeast1,220.132
africa-south1,europe-north1,197.21
africa-south1,europe-central2,185.419
africa-south1,asia-northeast1,260.518
africa-south1,southamerica-east1,331.291
africa-south1,europe-west3,164.244
africa-south1,southamerica-west1,329.961
africa-south1,europe-west2,157.521
africa-south1,europe-west12,161.387
africa-south1,asia-east2,214.313
africa-south1,asia-northeast3,249.309
africa-south1,asia-northeast2,265.902
africa-south1,europe-west10,172.362
africa-south1,asia-southeast2,201.864
africa-south1,us-west3,256.9
africa-south1,asia-south2,153.172
africa-south1,us-east5,223.468
africa-south1,us-east4,216.422
africa-south1,australia-southeast2,272.591
africa-south1,europe-west1,163.887
africa-south1,europe-southwest1,140.841
africa-south1,asia-southeast1,188.596
africa-south1,europe-west8,162.36
africa-south1,asia-east1,236.717
africa-south1,us-south1,247.221
asia-east1,southamerica-east1,283.904
asia-east1,europe-west9,214.419
asia-east1,europe-central2,223.745
asia-east1,us-west1,118.57
asia-east1,europe-west3,205.582
asia-east1,europe-west6,209.417
asia-east1,us-south1,157.471
asia-east1,us-east1,183.984
asia-east1,europe-west4,212.363
asia-east1,us-east4,173.291
asia-east1,asia-south1,108.088
asia-east1,europe-west10,216.839
asia-east1,europe-west2,216.997
asia-east1,europe-north1,235.991
asia-east1,us-east5,168.285
asia-east1,us-central1,149.756
asia-east1,europe-west12,216.726
asia-east1,asia-northeast3,36.009
asia-east1,asia-east2,23.198
asia-east1,us-west3,140.815
asia-east1,asia-southeast1,49.723
asia-east1,australia-southeast2,131.43
asia-east1,me-central1,150.632
asia-east1,asia-south2,117.256
asia-east1,asia-southeast2,62.424
asia-east1,northamerica-northeast2,171.804
asia-east1,australia-southeast1,130.464
asia-east1,asia-northeast1,34.956
asia-east1,us-west2,126.942
asia-east1,me-west1,197.25
asia-east1,northamerica-northeast1,179.59
asia-east1,southamerica-west1,231.997
asia-east1,asia-northeast2,35.102
asia-east1,us-west4,132.388
asia-east1,europe-west1,212.331
asia-east1,europe-southwest1,228.333
asia-east1,europe-west8,214.45
asia-east1,africa-south1,236.735
asia-east2,europe-central2,210.42
asia-east2,asia-northeast2,55.644
asia-east2,australia-southeast2,119.589
asia-east2,europe-west6,196.377
asia-east2,northamerica-northeast1,198.871
