Region,Region Name,location,Nearest City Latitude,Nearest City Longitude,x,y,z
africa-south1,africa-south1,"Johannesburg, South Africa",-26.2041,28.0473,0.7918562140394597,0.42187630895285566,-0.4415700581237456
asia-east1,asia-east1,"Changhua County, Taiwan",23.9575,120.536,-0.46430700895955923,0.7871055678963866,0.4060588952572453
asia-east2,asia-east2,"Hong Kong, China",22.3964,114.1095,-0.3776700154452566,0.8439164640967733,0.38101228465756753
asia-northeast1,asia-northeast1,"Tokyo, Japan",35.6895,139.6917,-0.6193558309386907,0.5254062107056782,0.5833923794789785
asia-northeast2,asia-northeast2,"Osaka, Japan",34.6937,135.5023,-0.5864623826768065,0.5762687036221328,0.5691891205308738
asia-northeast3,asia-northeast3,"Seoul, South Korea",37.5665,126.978,-0.47678331846746586,0.6332185611357113,0.6096818195291462
asia-south1,asia-south1,"Mumbai, India",19.076,72.8777,0.278244917074267,0.9031982689844369,0.3268220510091861
asia-south2,asia-south2,"Delhi, India",28.7041,77.1025,0.19577800503284537,0.8549830863010498,0.480286263476784
asia-southeast1,asia-southeast1,Singapore,1.3521,103.8198,-0.2388025339893586,0.9707814168790945,0.023596406558605315
asia-southeast2,asia-southeast2,"Jakarta, Indonesia",-6.2088,106.8456,-0.2880937837254856,0.9514752266498772,-0.10815204505832528
australia-southeast1,australia-southeast1,"Sydney, Australia",-33.8688,151.2093,-0.7276762684093141,0.39988961696487235,-0.5572930491559926
australia-southeast2,australia-southeast2,"Melbourne, Australia",-37.8136,144.9631,-0.6468459406827801,0.4535475179893493,-0.6130945913543115
europe-central2,europe-central2,"Warsaw, Poland",52.2297,21.0122,0.5717688183171069,0.21962118354810983,0.7904726144131666
europe-north1,europe-north1,"Hamina, Finland",60.1719,24.9414,0.4510117867030183,0.20974893779715037,0.8675216143404834
europe-north2,europe-north2,"Stockholm, Sweden",59.3293,18.0686,0.4849478359270869,0.15821127802860915,0.8601132413433649
europe-southwest1,europe-southwest1,"Madrid, Spain",40.4168,-3.7038,0.7597580355709852,-0.04918194823052537,0.6483431678930284
europe-west1,europe-west1,"St. Ghislain, Belgium",50.5039,4.4699,0.6340911692512096,0.04956889176444059,0.771667878071181
europe-west2,europe-west2,"London, UK",51.5074,-0.1278,0.6224120058502514,-0.0013883114418182503,0.7826885508072845
europe-west3,europe-west3,"Frankfurt, Germany",50.1109,8.6821,0.6339550356239236,0.09680606806336606,0.7672871678799149
europe-west4,europe-west4,"Eemshaven, Netherlands",53.3487,6.2603,0.5933837194334772,0.06509403995300395,0.8022833211988699
europe-west6,europe-west6,"Zurich, Switzerland",47.3769,8.5417,0.6696615054538567,0.10057990398046858,0.7358241305016804
europe-west8,europe-west8,"Milan, Italy",45.4642,9.19,0.6923523045825134,0.11201259964634892,0.7128123623084476
europe-west9,europe-west9,"Paris, France",48.8566,2.3522,0.6573914875834973,0.02700348223283558,0.7530652322342716
europe-west10,europe-west10,"Berlin, Germany",52.52,13.405,0.5919066962046825,0.1410666519079721,0.7935657897789777
europe-west12,europe-west12,"Turin, Italy",45.0703,7.6869,0.6998922568247805,0.0944662035014895,0.7079738450202314
me-central1,me-central1,"Doha, Qatar",25.2854,51.531,0.562489446800078,0.707932019402363,0.4271274729438914
me-west1,me-west1,"Tel Aviv, Israel",32.0853,34.7818,0.6958789881603076,0.48332074620187515,0.5311812215504697
northamerica-northeast1,northamerica-northeast1,"Montreal, Canada",45.5017,-73.5673,0.19827347318790306,-0.6722587006119277,0.7132712452367391
northamerica-northeast2,northamerica-northeast2,"Toronto, Canada",43.6511,-79.347,0.13375702939981157,-0.7110858633911239,0.6902651316497437
southamerica-east1,southamerica-east1,"Sao Paulo, Brazil",-23.5505,-46.6333,0.6294715843131387,-0.6664229635353052,-0.3995572026820798
southamerica-west1,southamerica-west1,"Santiago, Chile",-33.4489,-70.6693,0.27619576123825035,-0.7873386304102029,-0.5511930537822562
us-central1,us-central1,"Council Bluffs, Iowa, USA",41.2565,-95.9345,-0.07772608647251715,-0.7477360992095307,0.6594311043775397
us-east1,us-east1,"Moncks Corner, SC, USA",32.7767,-79.9311,0.14699670680362176,-0.8278372152323684,0.5413663392428526
us-east4,us-east4,"Ashburn, Virginia, USA",38.8951,-77.0364,0.17459688255355335,-0.758460226379273,0.6278964991169187
us-east5,us-east5,"Columbus, Ohio, USA",39.9612,-82.9988,0.09342629357424737,-0.7607643764087844,0.6422687064277163
us-south1,us-south1,"Dallas, Texas, USA",32.7767,-96.797,-0.09950878274659965,-0.8348775292766494,0.5413663392428526
us-west1,us-west1,"The Dalles, Oregon, USA",45.6066,-121.1794,-0.3621867014938643,-0.5985268725220623,0.7145532703234613
us-west2,us-west2,"Los Angeles, California, USA",34.0522,-118.2437,-0.39207823524685376,-0.7298855539254963,0.5599479758125608
us-west3,us-west3,"Salt Lake City, Utah, USA",40.7608,-111.891,-0.28240618914669163,-0.7028264505202358,0.6529025385007854
us-west4,us-west4,"Las Vegas, Nevada, USA",36.1699,-115.1398,-0.3429513952130002,-0.7308009000081278,0.5901816542970199
